GDPC1,CCSA,NEWORDER,UMCSENT,PAYEMS,CPIAUCSL,MSACSR
0.6,2787846,2.8,82.5,0.5,0.7,5.1
0.5,2802385,3.1,77.4,0.6,0.5,5.2
1.4,2798231,5.6,84.0,0.7,0.8,4.8
1.0,2748923,-1.1,93.0,0.8,0.5,5.2
1.4,2736462,6.2,92.2,0.9,0.6,5.6
0.6,2646538,1.9,90.7,0.9,0.9,6.1
1.1,2545929,3.9,93.1,0.8,0.6,6.2
0.4,2522083,1.1,94.3,0.8,0.7,7.0
0.3,2562769,2.5,91.7,0.4,0.8,6.3
0.9,2619786,-0.2,93.2,0.4,0.5,6.0
0.7,2646462,5.9,89.8,0.5,0.5,6.5
0.7,2676231,-2.9,90.5,0.4,0.9,6.0
1.7,2587385,2.2,91.5,0.7,0.9,6.0
0.9,2486462,1.0,94.9,0.6,0.6,5.3
1.0,2456538,2.9,97.5,0.6,0.9,5.3
0.6,2411462,2.9,99.0,0.6,0.6,4.4
1.7,2307154,2.8,103.0,0.7,0.2,4.6
1.3,2259923,7.5,105.8,0.6,0.5,4.3
0.9,2221385,-1.9,105.0,0.8,0.5,4.2
1.0,2243077,-0.1,107.8,0.6,0.2,4.0
0.9,2173846,-0.2,106.9,0.6,0.3,3.9
1.3,2241154,0.6,103.5,0.6,0.5,4.1
1.6,2193692,0.4,100.2,0.6,0.5,3.8
0.9,2254308,0.1,105.9,0.6,0.4,4.0
0.8,2214692,1.4,106.2,0.6,0.7,3.9
1.3,2179615,5.2,105.9,0.6,0.7,4.2
1.7,2095846,0.9,105.3,0.7,0.7,4.3
0.4,2111923,-1.4,110.1,0.6,1.0,4.3
1.8,2011385,5.6,108.8,0.6,0.8,4.5
0.1,2106786,-0.7,107.5,0.2,0.9,4.2
0.6,2218615,-3.3,103.9,0.2,0.7,3.9
-0.3,2496615,-4.8,92.3,0.2,1.0,3.8
0.6,2831000,-7.1,91.0,-0.3,0.7,4.0
-0.4,3147231,-5.1,88.6,-0.3,0.3,4.3
0.3,3591000,-3.8,85.1,-0.6,-0.1,4.1
0.9,3574846,-4.5,93.1,-0.3,0.3,4.1
0.6,3675462,2.8,94.1,-0.1,0.8,4.2
0.4,3524692,-0.5,87.3,-0.1,0.5,4.0
0.2,3505077,-0.8,83.8,0.0,0.6,4.0
0.6,3470000,1.6,80.0,-0.1,1.0,4.2
0.9,3686231,0.1,89.3,-0.2,-0.2,3.8
1.7,3596154,1.2,89.3,0.0,0.7,3.6
1.1,3376385,3.2,92.0,0.2,0.4,4.0
0.5,3106538,-0.2,98.0,0.3,0.8,3.7
0.8,2975692,0.8,93.3,0.6,0.8,3.9
0.9,2892462,2.7,95.6,0.2,0.6,4.3
1.0,2746462,2.5,93.9,0.4,1.1,4.1
1.1,2692538,3.7,94.1,0.3,0.5,4.3
0.5,2597462,1.2,90.2,0.5,0.7,4.3
0.9,2628077,1.2,87.5,0.6,1.5,4.5
0.6,2715643,2.9,82.4,0.4,0.9,4.8
1.3,2506583,4.8,88.9,0.6,0.5,5.8
0.2,2398000,0.5,83.8,0.4,0.9,6.3
0.2,2453071,2.2,84.0,0.3,0.9,6.9
0.9,2468846,1.9,92.5,0.3,-0.4,6.8
0.2,2536077,-2.0,92.2,0.4,1.0,7.7
0.6,2475769,0.6,86.9,0.3,1.1,7.8
0.5,2543615,0.1,85.7,0.1,0.6,8.9
0.6,2636462,1.2,77.5,0.2,1.2,9.2
-0.6,2856615,1.4,72.9,0.0,1.1,9.8
0.5,3011923,2.3,59.6,-0.3,1.3,10.6
-0.5,3360154,-4.2,64.8,-0.5,1.5,10.9
-2.2,4115077,-11.0,57.7,-1.2,-2.3,11.4
-1.1,5273615,-15.2,58.3,-1.7,-0.7,11.2
-0.1,6423308,-1.8,68.2,-1.4,0.5,9.5
0.4,6056462,5.1,68.4,-0.7,0.9,7.7
1.1,5479769,3.7,70.2,-0.4,0.8,7.7
0.4,4792077,1.6,73.9,-0.1,0.2,7.8
0.9,4663000,4.5,73.9,0.5,0.0,7.9
0.7,4489154,3.1,68.3,0.0,0.3,8.4
